Driver,LapTime,Compound,TyreLife,LapNumber
SAR,0 days 00:01:37.225000,SOFT,9.0,49.0
SAR,0 days 00:01:37.290000,SOFT,10.0,50.0
SAR,0 days 00:01:37.472000,SOFT,11.0,51.0
SAR,0 days 00:01:37.456000,SOFT,12.0,52.0
SAR,0 days 00:01:37.662000,SOFT,13.0,53.0
SAR,0 days 00:01:37.936000,SOFT,14.0,54.0
SAR,0 days 00:01:38.316000,SOFT,15.0,55.0
SAR,0 days 00:01:39.626000,SOFT,16.0,56.0
MAG,0 days 00:01:49.330000,HARD,1.0,1.0
MAG,0 days 00:01:41.521000,HARD,2.0,2.0
MAG,0 days 00:01:41.978000,HARD,3.0,3.0
MAG,0 days 00:01:40.773000,HARD,4.0,4.0
MAG,0 days 00:01:41.340000,HARD,5.0,5.0
MAG,0 days 00:01:41.125000,HARD,6.0,6.0
MAG,0 days 00:01:41.526000,HARD,7.0,7.0
MAG,0 days 00:01:41.283000,HARD,8.0,8.0
MAG,0 days 00:01:41.278000,HARD,9.0,9.0
MAG,0 days 00:01:41.719000,HARD,10.0,10.0
MAG,0 days 00:01:42.049000,HARD,11.0,11.0
MAG,0 days 00:01:41.345000,HARD,12.0,12.0
MAG,0 days 00:01:41.654000,HARD,13.0,13.0
MAG,0 days 00:01:41.739000,HARD,14.0,14.0
MAG,0 days 00:01:44.899000,HARD,15.0,15.0
MAG,0 days 00:02:00.587000,HARD,1.0,16.0
MAG,0 days 00:01:38.319000,HARD,2.0,17.0
MAG,0 days 00:01:38.274000,HARD,3.0,18.0
MAG,0 days 00:01:38.803000,HARD,4.0,19.0
MAG,0 days 00:01:39.083000,HARD,5.0,20.0
MAG,0 days 00:01:39.086000,HARD,6.0,21.0
MAG,0 days 00:01:38.913000,HARD,7.0,22.0
MAG,0 days 00:01:39.027000,HARD,8.0,23.0
MAG,0 days 00:01:38.947000,HARD,9.0,24.0
MAG,0 days 00:01:39.476000,HARD,10.0,25.0
MAG,0 days 00:01:39.601000,HARD,11.0,26.0
MAG,0 days 00:01:39.298000,HARD,12.0,27.0
MAG,0 days 00:01:39.316000,HARD,13.0,28.0
MAG,0 days 00:01:41.979000,HARD,14.0,29.0
MAG,0 days 00:02:00.933000,SOFT,1.0,30.0
MAG,0 days 00:01:38.593000,SOFT,2.0,31.0
MAG,0 days 00:01:37.644000,SOFT,3.0,32.0
MAG,0 days 00:01:37.097000,SOFT,4.0,33.0
MAG,0 days 00:01:37.528000,SOFT,5.0,34.0
MAG,0 days 00:01:37.460000,SOFT,6.0,35.0
MAG,0 days 00:01:37.754000,SOFT,7.0,36.0
MAG,0 days 00:01:37.998000,SOFT,8.0,37.0
MAG,0 days 00:01:38.303000,SOFT,9.0,38.0
MAG,0 days 00:01:38.587000,SOFT,10.0,39.0
MAG,0 days 00:01:57.797000,SOFT,11.0,40.0
MAG,0 days 00:02:02.547000,SOFT,1.0,41.0
MAG,0 days 00:01:36.471000,SOFT,2.0,42.0
MAG,0 days 00:01:36.942000,SOFT,3.0,43.0
MAG,0 days 00:01:36.588000,SOFT,4.0,44.0
MAG,0 days 00:01:37.126000,SOFT,5.0,45.0
MAG,0 days 00:01:37.589000,SOFT,6.0,46.0
MAG,0 days 00:01:37.629000,SOFT,7.0,47.0
MAG,0 days 00:01:37.607000,SOFT,8.0,48.0
MAG,0 days 00:01:37.739000,SOFT,9.0,49.0
MAG,0 days 00:01:38.315000,SOFT,10.0,50.0
MAG,0 days 00:01:38.157000,SOFT,11.0,51.0
MAG,0 days 00:01:37.963000,SOFT,12.0,52.0
MAG,0 days 00:01:37.982000,SOFT,13.0,53.0
MAG,0 days 00:01:39.651000,SOFT,14.0,54.0
MAG,0 days 00:01:38.446000,SOFT,15.0,55.0
MAG,0 days 00:01:38.779000,SOFT,16.0,56.0
DEV,0 days 00:01:49.959000,SOFT,1.0,1.0
DEV,0 days 00:01:41.289000,SOFT,2.0,2.0
DEV,0 days 00:01:40.914000,SOFT,3.0,3.0
DEV,0 days 00:01:40.373000,SOFT,4.0,4.0
DEV,0 days 00:01:40.630000,SOFT,5.0,5.0
DEV,0 days 00:01:41.125000,SOFT,6.0,6.0
DEV,0 days 00:01:41.166000,SOFT,7.0,7.0
DEV,0 days 00:01:41.230000,SOFT,8.0,8.0
DEV,0 days 00:01:41.573000,SOFT,9.0,9.0
DEV,0 days 00:01:41.666000,SOFT,10.0,10.0
DEV,0 days 00:01:45.460000,SOFT,11.0,11.0
DEV,0 days 00:02:01.184000,HARD,1.0,12.0
DEV,0 days 00:01:38.924000,HARD,2.0,13.0
DEV,0 days 00:01:38.829000,HARD,3.0,14.0
DEV,0 days 00:01:38.868000,HARD,4.0,15.0
DEV,0 days 00:01:39.127000,HARD,5.0,16.0
DEV,0 days 00:01:38.996000,HARD,6.0,17.0
DEV,0 days 00:01:39.054000,HARD,7.0,18.0
DEV,0 days 00:01:39.078000,HARD,8.0,19.0
DEV,0 days 00:01:39.182000,HARD,9.0,20.0
DEV,0 days 00:01:39.182000,HARD,10.0,21.0
DEV,0 days 00:01:39.296000,HARD,11.0,22.0
DEV,0 days 00:01:39.542000,HARD,12.0,23.0
DEV,0 days 00:01:39.807000,HARD,13.0,24.0
DEV,0 days 00:01:40.960000,HARD,14.0,25.0
DEV,0 days 00:01:39.970000,HARD,15.0,26.0
DEV,0 days 00:01:42.309000,HARD,16.0,27.0
DEV,0 days 00:02:00.083000,HARD,1.0,28.0
DEV,0 days 00:01:38.121000,HARD,2.0,29.0
DEV,0 days 00:01:37.709000,HARD,3.0,30.0
DEV,0 days 00:01:37.909000,HARD,4.0,31.0
DEV,0 days 00:01:37.902000,HARD,5.0,32.0
DEV,0 days 00:01:37.933000,HARD,6.0,33.0
DEV,0 days 00:01:38.266000,HARD,7.0,34.0
DEV,0 days 00:01:38.123000,HARD,8.0,35.0
DEV,0 days 00:01:38.206000,HARD,9.0,36.0
DEV,0 days 00:01:38.423000,HARD,10.0,37.0
DEV,0 days 00:01:38.379000,HARD,11.0,38.0
